Date,Temp
2018/7/30,26.75720833
2018/7/31,26.93308333
2018/8/1,26.2583125
2018/8/2,25.28310417
2018/8/3,26.2579375
2018/8/4,27.10172917
2018/8/5,27.46445833
2018/8/6,27.08770833
2018/8/7,26.31079167
2018/8/8,26.4549375
2018/8/9,27.2211875
2018/8/10,27.6243125
2018/8/11,26.67775
2018/8/12,25.6633125
2018/8/13,25.583125
2018/8/14,25.73508333
2018/8/15,25.34591667
2018/8/16,25.06060417
2018/8/17,23.964125
2018/8/18,24.23495833
2018/8/19,24.8689375
2018/8/20,25.65914583
2018/8/21,26.35583333
2018/8/22,26.33520833
2018/8/23,26.22154167
2018/8/24,26.8851875
2018/8/25,25.62741667
2018/8/26,24.74841667
2018/8/27,25.13345833
2018/8/28,26.1069375
2018/8/29,26.52041667
2018/8/30,26.7140625
2018/8/31,26.28258333
2018/9/1,24.82689583
2018/9/2,24.81927083
2018/9/3,25.53760417
2018/9/4,26.1465
2018/9/5,25.71960417
2018/9/6,24.12845833
2018/9/7,24.62922917
2018/9/8,25.1555625
2018/9/9,25.5096875
2018/9/10,25.39191667
2018/9/11,25.24020833
2018/9/12,24.8509375
2018/9/13,24.9700625
2018/9/14,25.1068125
2018/9/15,25.39789583
2018/9/16,25.79070833
2018/9/17,26.0465
2018/9/18,26.31495833
2018/9/19,26.44702083
2018/9/20,25.94702083
2018/9/21,25.31091667
2018/9/22,25.37779167
2018/9/23,25.70372917
2018/9/24,26.13629167
2018/9/25,25.93277083
2018/9/26,24.891375
2018/9/27,24.333125
2018/9/28,24.55683333
2018/9/29,24.68764583
2018/9/30,24.5848125
2018/10/1,24.70985417
2018/10/2,21.9568125
2018/10/3,22.26196875
2018/10/4,22.812
2018/10/5,22.717
2018/10/6,23.292
2018/10/7,24.158
2018/10/8,23.869
2018/10/9,23.677
2018/10/10,23.869
2018/10/11,24.351
2018/10/12,24.738
2018/10/13,23.966
2018/10/14,22.717
2018/10/15,23.004
2018/10/16,22.908
2018/10/17,22.812
2018/10/18,23.1
2018/10/19,22.812
2018/10/20,23.484
2018/10/21,23.292
2018/10/22,23.004
2018/10/23,
2018/10/24,
2018/10/25,
2018/10/26,
2018/10/29,
2018/10/30,
2018/10/31,
2018/11/1,
2018/11/2,
2018/11/5,
2018/11/6,
2018/11/7,
2018/11/8,
2018/11/9,
2018/11/12,
2018/11/13,
2018/11/14,
2018/11/15,
2018/11/16,
2018/11/19,
2018/11/20,
2018/11/21,
2018/11/22,
2018/11/26,
2018/11/27,
2018/11/28,
2018/11/29,
2018/11/30,
2018/12/3,20.9931
2018/12/4,21.3798
2018/12/5,21.3539
2018/12/6,20.7675
2018/12/7,20.3092
2018/12/8,19.0283
2018/12/9,18.4495
2018/12/10,18.7072
2018/12/11,19.4087
2018/12/12,20.0315
2018/12/13,20.3924
2018/12/14,19.6466
2018/12/15,19.3077
2018/12/16,19.4603
2018/12/17,19.9579
2018/12/18,18.9252
2018/12/19,18.0038
2018/12/20,17.524
2018/12/21,17.8115
2018/12/22,19.2283
2018/12/23,18.6556
2018/12/24,18.2534
2018/12/25,17.7459
2018/12/26,18.3466
2018/12/27,18.1602
2018/12/28,17.1314
2018/12/29,16.8201
2018/12/30,17.0918
2018/12/31,17.403
2019/1/1,18.1087
2019/1/2,17.7104
2019/1/3,18.0116
2019/1/4,17.9225
2019/1/5,17.5419
2019/1/6,16.7904
2019/1/7,16.8478
2019/1/8,16.953
2019/1/9,16.4926
2019/1/10,16.2367
2019/1/11,
2019/1/12,
2019/1/13,
2019/1/14,
2019/1/15,
2019/1/16,
2019/1/17,
2019/1/18,16.84
2019/1/19,16.874
2019/1/20,17.066
2019/1/21,16.386
2019/1/22,15.537
2019/1/23,15.517
2019/1/24,15.813
2019/1/25,15.919
2019/1/26,16.568
2019/1/27,16.491
2019/1/28,15.632
2019/1/29,15.392
2019/1/30,15.861
2019/1/31,16.388
2019/2/1,16.115
2019/2/2,16.195
2019/2/3,16.425
2019/2/4,16.481
2019/2/5,15.734
2019/2/6,16.312
2019/2/7,16.717
2019/2/8,16.348
2019/2/9,16.33
2019/2/10,16.491
2019/2/11,16.183
2019/2/12,16.451
2019/2/13,16.538
2019/2/14,15.811
2019/2/15,15.435
2019/2/16,15.893
2019/2/17,15.686
2019/2/18,16.421
2019/2/19,15.974
2019/2/20,15.99
2019/2/21,15.664
2019/2/22,15.416
2019/2/23,15.67
2019/2/24,15.431
2019/2/25,15.706
2019/2/26,15.577
2019/2/27,15.396
2019/2/28,15.984
2019/3/1,15.907
2019/3/2,15.704
2019/3/3,15.453
2019/3/4,15.64
2019/3/5,16.828
2019/3/6,16.822
2019/3/7,16.759
2019/3/8,17.001
2019/3/9,16.705
2019/3/10,16.731
2019/3/11,17.014
2019/3/12,16.612
2019/3/13,15.877
2019/3/14,15.646
2019/3/15,15.94
2019/3/16,15.829
2019/3/17,16.093
2019/3/18,16.387
2019/3/19,16.556
2019/3/20,17.482
2019/3/21,18.174
2019/3/22,18.206
2019/3/23,16.977
2019/3/24,16.478
2019/3/25,16.717
2019/3/26,16.663
2019/3/27,16.598
2019/3/28,16.372
2019/3/29,15.964
2019/3/30,16.52
2019/3/31,16.907
2019/4/1,16.764
2019/4/2,16.294
2019/4/3,15.909
2019/4/4,16.536
2019/4/5,16.592
2019/4/6,16.405
2019/4/7,16.227
2019/4/8,16.171
2019/4/9,16.143
2019/4/10,15.742
2019/4/11,16.594
2019/4/12,16.594
2019/4/13,16.592
2019/4/14,16.873
2019/4/15,17.199
2019/4/16,17.042
2019/4/17,16.778
2019/4/18,17.124
2019/4/19,17.241
2019/4/20,17.278
2019/4/21,17.276
2019/4/22,17.568
2019/4/23,17.453
2019/4/24,18.503
2019/4/25,18.955
2019/4/26,18.568
2019/4/27,17.869
2019/4/28,17.597
2019/4/29,17.381
2019/4/30,17.242
2019/5/1,17.633
2019/5/2,18.238
2019/5/3,18.271
2019/5/4,18.479
2019/5/5,18.683
2019/5/6,18.65
2019/5/7,18.58
2019/5/8,18.075
2019/5/9,18.146
2019/5/10,18.533
2019/5/11,18.521
2019/5/12,18.715
2019/5/13,18.965
2019/5/14,18.848
2019/5/15,18.285
2019/5/16,18.451
2019/5/17,19.393
2019/5/18,19.548
2019/5/19,19.639
2019/5/20,19.658
2019/5/21,19.615
2019/5/22,19.522
2019/5/23,19.728
2019/5/24,19.8
2019/5/25,20.042
2019/5/26,20.222
2019/5/27,20.01
2019/5/28,19.254
2019/5/29,18.98
2019/5/30,18.919
2019/5/31,19.294
2019/6/1,19.73
2019/6/2,19.637
2019/6/3,19.97
2019/6/4,20.147
2019/6/5,20.178
2019/6/6,21.033
2019/6/7,20.139
2019/6/8,20.138
2019/6/9,20.093
2019/6/10,20.301
2019/6/11,20.663
2019/6/12,21.358
2019/6/13,22.163
2019/6/14,22.23
2019/6/15,21.688
2019/6/16,21.764
2019/6/17,20.77
2019/6/18,20.841
2019/6/19,21.519
2019/6/20,21.88
2019/6/21,22.42
2019/6/22,22.288
2019/6/23,22.09
2019/6/24,22.745
2019/6/25,23.121
2019/6/26,23.627
2019/6/27,23.677
2019/6/28,22.873
2019/6/29,21.704
2019/6/30,22.184
2019/7/1,21.762
2019/7/2,21.082
2019/7/3,21.127
2019/7/4,21.362
2019/7/5,20.915
2019/7/6,21.105
2019/7/7,21.77
2019/7/8,22.425
2019/7/9,23.008
2019/7/10,23.267
