Date,Quadrat,CONCAT,Healthy_Coral,Bleached_Coral,Dead_Coral,Active_WMS,Recessive_WMS,RCKilled_WMS,G_Elegans,Deg_G_Elegans,C_Sinuosa,E_Eisenia,P_Arborescens,U_Pinnatifida,Red_Alg,Sargassum_spp,Branched_Cor_Alg,Crust_Cor_Alg,Non_Crust_Alg,Alg_Other,Bare_Sub,Off,Urchin,Anemone,Crustacean,SA_WMS,SA_PH,WMS_Prevalence
2019-09-11,1,440851,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,14,12,18,16,0,0,0,0,0,0,0
2019-09-11,2,440852,11,0,1,0,0,0,0,0,0,0,0,0,0,5,1,11,5,18,11,1,0,0,0,21.936,603.388,0.036354717
2019-09-11,3,440853,14,0,0,0,0,0,2,0,0,0,0,0,0,1,12,11,4,8,12,0,0,0,0,0,0,0
2019-09-11,4,440854,12,0,0,0,0,0,8,0,0,0,0,0,0,0,6,6,12,11,9,0,0,0,0,0,0,0
2019-09-11,5,440855,18,0,1,0,0,1,0,0,0,0,0,0,0,2,1,15,11,13,2,0,0,0,0,0,0,0
2019-09-11,6,440856,8,0,0,0,0,0,0,0,0,0,0,0,0,2,5,15,6,3,24,1,0,0,0,0,0,0
2019-09-11,7,440857,2,0,0,0,0,0,0,0,0,0,0,0,0,7,2,22,2,10,17,1,0,1,0,0,0,0
2019-09-11,8,440858,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,22,28,0,0,1,0,0,0,0
2019-09-11,9,440859,9,0,0,0,0,1,1,0,0,0,0,0,0,2,5,12,7,17,9,1,0,0,0,259.629,453.18,0.572904806
2019-09-11,10,4408510,15,0,0,0,0,0,0,0,0,1,0,0,0,1,3,17,5,14,7,1,0,0,0,0,0,0
2019-10-28,1,437661,0,0,0,0,0,0,5,0,0,0,0,0,0,8,0,19,7,3,22,0,0,0,0,,,
2019-10-28,2,437662,12,0,0,0,0,0,0,0,0,0,0,0,0,9,2,38,3,0,0,0,0,0,0,,,
2019-10-28,3,437663,13,0,0,0,0,0,2,0,0,0,0,0,0,2,8,26,7,1,5,0,0,0,0,,,
2019-10-28,4,437664,11,0,0,0,0,0,4,0,0,0,0,0,0,7,5,18,4,1,14,0,0,0,0,,,
2019-10-28,5,437665,19,0,0,0,0,0,0,0,0,0,0,0,0,3,2,29,6,1,4,0,0,0,0,,,
2019-10-28,6,437666,8,0,0,0,0,0,0,0,0,0,0,0,0,3,8,22,2,0,21,0,0,0,0,,,
2019-10-28,7,437667,2,0,0,0,0,0,1,0,0,0,0,0,0,9,0,28,1,1,22,0,0,0,0,,,
2019-10-28,8,437668,7,0,0,0,0,0,1,0,0,0,0,0,0,0,3,20,2,21,7,0,0,3,0,,,
2019-10-28,9,437669,10,0,0,0,0,0,0,0,0,0,0,0,0,7,12,18,5,3,6,1,0,2,0,,,
2019-10-28,10,4376610,13,0,0,0,0,0,0,0,0,0,0,0,0,10,6,20,3,4,8,0,0,0,0,,,
2020-02-12,1,438731,1,0,0,0,0,0,1,0,0,0,0,0,0,35,7,4,6,2,8,0,0,0,0,,,
2020-02-12,2,438732,12,0,0,0,0,0,0,0,0,0,0,0,0,42,3,2,2,3,0,0,0,0,0,,,
2020-02-12,3,438733,15,0,0,0,0,0,2,0,0,0,0,0,1,5,9,3,1,23,5,0,0,0,0,,,
2020-02-12,4,438734,14,0,1,0,0,0,3,0,0,0,0,0,0,8,6,5,9,12,6,0,0,0,0,,,
2020-02-12,5,438735,21,0,1,0,0,0,0,0,0,0,0,0,0,11,0,7,8,14,2,0,0,0,0,,,
2020-02-12,6,438736,10,0,0,0,0,0,0,0,0,0,0,0,0,9,9,12,1,10,13,0,0,0,0,,,
2020-02-12,7,438737,2,0,0,0,0,0,0,0,0,0,0,0,0,26,1,15,2,16,2,0,0,0,0,,,
2020-02-12,8,438738,7,0,0,0,0,0,2,0,0,0,0,0,0,17,1,4,6,12,11,0,0,4,0,,,
2020-02-12,9,438739,7,0,0,0,0,0,0,0,0,0,0,0,0,26,5,9,3,11,1,0,0,2,0,,,
2020-02-12,10,4387310,19,0,0,0,0,0,0,0,0,0,0,0,0,27,3,0,5,6,4,0,0,0,0,,,
2020-03-23,1,439131,1,0,0,0,0,0,0,0,0,0,0,0,0,34,6,1,11,8,3,0,0,0,0,,,
2020-03-23,2,439132,9,0,0,0,0,0,0,0,1,0,0,0,0,48,2,2,0,2,0,0,0,0,0,,,
2020-03-23,3,439133,15,0,0,0,0,0,3,0,1,0,0,0,0,5,12,5,4,18,1,0,0,0,0,,,
2020-03-23,4,439134,14,0,0,0,0,0,6,0,0,0,0,0,0,14,9,1,8,12,0,0,0,0,0,,,
2020-03-23,5,439135,21,0,0,0,0,0,0,0,0,0,0,0,0,11,0,13,7,11,0,1,0,0,0,,,
2020-03-23,6,439136,9,0,0,0,0,0,1,0,0,0,0,0,0,22,7,1,4,18,2,0,0,0,0,,,
